Species                    Tentacles   	   
Metasepia_pfefferi	   1	 
Hapalochlaena_lunulata     0       
Hapalochlaena_maculosa     0	    	
Hapalochlaena_fasciata     0	    	
Octopus_vulgaris	   0	    
Dosidicus_gigas	   	   1	    
Todarodes_pacificus 	   1	    
Sepioloidea_lineolata	   1	    
Architeuthis_dux	   1	    
Callistoctopus_ornatus     0	    
Enteroctopus_dofleini      0	    
Amphioctopus_marginatus    0	    
Sepia_apama		   1	    
Sepia_officinalis          1	    
Sepia_pharaonis	           1	    
Sepiola_atlantica 	   1	    
Sepioteuthis_lessoniana    1	    

